batch_id,step_hour,temperature,ph,dissolved_oxygen,turbidity,co2_concentration,light_intensity,water_level,previous_biomass,target_biomass
ZENODO-BATCH-01,94,24.61,8.07,6.33,65.21,484.0,810.0,0.369,2.659,2.704
ZENODO-BATCH-01,95,25.2,8.15,7.85,75.35,465.4,911.6,0.362,2.704,2.754
ZENODO-BATCH-01,96,27.37,8.53,7.85,73.93,457.4,445.2,0.353,2.754,2.789
ZENODO-BATCH-01,97,31.32,8.21,6.08,70.23,499.9,636.2,0.36,2.789,2.851
ZENODO-BATCH-01,98,27.85,8.31,6.68,77.33,373.2,794.3,0.371,2.851,2.899
ZENODO-BATCH-01,99,25.13,8.51,8.18,74.25,462.1,848.4,0.336,2.899,2.88
ZENODO-BATCH-02,0,27.39,8.9,6.86,19.12,436.5,1004.3,0.344,0.507,0.522
ZENODO-BATCH-02,1,25.99,7.9,8.44,26.44,470.5,713.8,0.33,0.522,0.557
ZENODO-BATCH-02,2,28.38,8.55,7.33,25.12,477.2,517.9,0.36,0.557,0.647
ZENODO-BATCH-02,3,26.91,8.01,6.69,30.5,435.0,607.8,0.374,0.647,0.696
ZENODO-BATCH-02,4,26.42,8.46,7.36,31.95,488.5,620.6,0.32,0.696,0.777
ZENODO-BATCH-02,5,26.97,8.08,7.73,28.56,475.1,771.5,0.39,0.777,0.84
ZENODO-BATCH-02,6,25.05,7.92,6.79,30.43,540.8,714.0,0.354,0.84,0.899
ZENODO-BATCH-02,7,34.82,8.01,7.75,33.53,507.0,631.9,0.387,0.899,0.761
ZENODO-BATCH-02,8,29.98,8.75,8.05,32.89,482.8,867.7,0.373,0.761,0.828
ZENODO-BATCH-02,9,28.08,8.32,7.49,30.3,423.2,937.2,0.342,0.828,0.941
ZENODO-BATCH-02,10,28.98,8.27,7.72,31.78,493.6,475.2,0.393,0.941,1.037
ZENODO-BATCH-02,11,29.12,8.96,7.69,33.47,472.6,702.8,0.354,1.037,1.084
ZENODO-BATCH-02,12,31.18,7.79,8.16,34.17,428.5,743.9,0.32,1.084,1.157
ZENODO-BATCH-02,13,32.41,8.22,6.04,38.77,544.7,620.1,0.306,1.157,1.214
ZENODO-BATCH-02,14,25.95,8.57,6.18,40.66,434.6,763.9,0.367,1.214,1.273
ZENODO-BATCH-02,15,33.12,7.77,7.16,39.28,428.9,445.4,0.355,1.273,1.311
ZENODO-BATCH-02,16,25.37,8.9,7.47,42.55,510.3,705.2,0.359,1.311,1.348
ZENODO-BATCH-02,17,30.11,8.85,7.13,39.63,491.9,755.4,0.379,1.348,1.436
ZENODO-BATCH-02,18,28.4,7.61,7.87,42.25,429.4,743.1,0.337,1.436,1.477
ZENODO-BATCH-02,19,27.37,7.16,7.83,41.59,494.2,434.9,0.359,1.477,1.494
ZENODO-BATCH-02,20,28.49,7.73,7.02,45.49,499.5,990.6,0.351,1.494,1.559
ZENODO-BATCH-02,21,27.88,7.94,8.64,44.58,447.4,539.7,0.363,1.559,1.665
ZENODO-BATCH-02,22,32.0,8.67,7.76,51.32,430.9,730.7,0.358,1.665,1.731
ZENODO-BATCH-02,23,31.12,8.01,8.86,55.29,468.9,957.1,0.336,1.731,1.835
ZENODO-BATCH-02,24,26.87,8.03,7.62,52.3,479.1,662.3,0.339,1.835,1.96
ZENODO-BATCH-02,25,32.82,8.45,7.69,54.35,465.4,726.8,0.33,1.96,1.988
ZENODO-BATCH-02,26,29.5,8.54,6.22,56.41,530.8,633.0,0.321,1.988,2.101
ZENODO-BATCH-02,27,32.71,8.04,7.06,60.18,458.3,914.2,0.368,2.101,2.136
ZENODO-BATCH-02,28,32.19,8.87,7.6,57.34,477.8,607.4,0.355,2.136,2.158
ZENODO-BATCH-02,29,28.44,8.78,7.82,62.92,443.3,817.8,0.293,2.158,2.198
ZENODO-BATCH-02,30,27.59,7.75,6.83,60.22,512.2,487.0,0.357,2.198,2.27
ZENODO-BATCH-02,31,28.69,7.67,5.95,66.44,437.8,899.3,0.341,2.27,2.352
ZENODO-BATCH-02,32,27.63,8.09,7.51,66.83,553.5,662.1,0.359,2.352,2.445
ZENODO-BATCH-02,33,27.85,8.16,7.78,67.99,458.3,707.1,0.351,2.445,2.528
ZENODO-BATCH-02,34,28.7,7.35,8.0,73.88,475.6,884.9,0.292,2.528,2.554
ZENODO-BATCH-02,35,31.27,7.78,6.7,67.62,412.6,830.3,0.388,2.554,2.605
ZENODO-BATCH-02,36,30.68,8.47,9.12,69.91,476.4,747.1,0.349,2.605,2.681
ZENODO-BATCH-02,37,31.26,8.78,8.51,71.89,408.6,835.0,0.327,2.681,2.701
ZENODO-BATCH-02,38,28.34,8.4,8.49,70.69,479.0,777.8,0.359,2.701,2.778
ZENODO-BATCH-02,39,31.47,7.7,6.96,72.67,491.6,827.5,0.378,2.778,2.81
ZENODO-BATCH-02,40,28.07,8.26,8.48,70.85,395.2,522.7,0.333,2.81,2.823
ZENODO-BATCH-02,41,26.9,7.65,6.65,77.05,505.4,1015.6,0.395,2.823,2.847
ZENODO-BATCH-02,42,22.25,9.28,8.02,78.79,386.0,469.9,0.399,2.847,2.856
ZENODO-BATCH-02,43,29.99,8.63,7.28,72.57,472.7,856.6,0.349,2.856,2.888
ZENODO-BATCH-02,44,24.27,8.21,7.34,78.29,410.3,542.1,0.378,2.888,2.878
ZENODO-BATCH-02,45,26.03,8.67,7.64,75.63,449.9,543.2,0.331,2.878,2.877
ZENODO-BATCH-02,46,27.0,8.39,7.18,75.97,479.8,433.3,0.361,2.877,2.928
ZENODO-BATCH-02,47,28.81,8.06,7.24,74.31,484.4,742.0,0.351,2.928,2.957
ZENODO-BATCH-02,48,24.99,9.04,6.63,76.17,428.8,496.1,0.368,2.957,2.98
ZENODO-BATCH-02,49,26.82,8.38,6.25,79.46,556.5,569.6,0.356,2.98,3.01
ZENODO-BATCH-02,50,28.04,8.19,7.97,76.55,453.4,727.9,0.394,3.01,3.016
ZENODO-BATCH-02,51,28.28,9.41,8.54,80.06,533.8,575.3,0.339,3.016,2.58
ZENODO-BATCH-02,52,27.55,8.16,6.68,68.86,414.3,615.3,0.326,2.58,2.634
ZENODO-BATCH-02,53,29.08,7.55,5.61,73.63,497.5,779.6,0.357,2.634,2.655
ZENODO-BATCH-02,54,32.68,8.44,7.65,72.03,457.5,593.1,0.352,2.655,2.673
ZENODO-BATCH-02,55,28.92,7.61,6.61,74.08,419.3,700.0,0.375,2.673,2.721
ZENODO-BATCH-02,56,25.77,8.11,9.06,72.44,466.4,938.4,0.358,2.721,2.757
ZENODO-BATCH-02,57,28.83,8.18,6.57,67.15,503.1,847.5,0.323,2.757,2.828
ZENODO-BATCH-02,58,25.74,7.28,7.2,74.46,572.2,789.9,0.367,2.828,2.835
ZENODO-BATCH-02,59,30.8,8.12,6.67,73.85,474.5,768.1,0.37,2.835,2.867
ZENODO-BATCH-02,60,29.84,7.85,8.07,75.0,459.6,725.1,0.359,2.867,2.916
ZENODO-BATCH-02,61,31.98,8.5,6.35,74.32,401.0,721.9,0.344,2.916,2.935
ZENODO-BATCH-02,62,28.64,8.49,7.25,73.75,481.9,707.3,0.31,2.935,2.966
ZENODO-BATCH-02,63,25.48,8.52,7.03,77.7,514.8,995.5,0.38,2.966,2.978
ZENODO-BATCH-02,64,26.97,8.11,7.33,78.83,467.7,650.1,0.35,2.978,3.021
ZENODO-BATCH-02,65,30.87,7.58,6.11,74.95,502.0,260.3,0.346,3.021,3.003
ZENODO-BATCH-02,66,29.85,8.59,6.76,73.63,343.4,616.2,0.358,3.003,3.025
ZENODO-BATCH-02,67,28.46,8.51,8.16,78.47,416.2,741.5,0.347,3.025,3.033
ZENODO-BATCH-02,68,27.39,7.85,6.1,83.14,537.0,688.9,0.318,3.033,3.048
ZENODO-BATCH-02,69,26.83,8.72,7.74,85.53,542.2,611.0,0.34,3.048,3.051
ZENODO-BATCH-02,70,30.36,8.38,7.23,80.5,530.3,954.3,0.335,3.051,3.062
ZENODO-BATCH-02,71,33.53,8.31,6.12,82.97,468.3,654.2,0.331,3.062,2.596
ZENODO-BATCH-02,72,25.88,8.49,8.0,64.85,492.4,933.4,0.335,2.596,2.663
ZENODO-BATCH-02,73,27.69,8.14,7.56,68.66,485.0,959.1,0.393,2.663,2.746
ZENODO-BATCH-02,74,28.64,8.37,7.63,71.32,482.9,995.1,0.371,2.746,2.797
ZENODO-BATCH-02,75,25.89,7.37,7.02,74.46,410.4,1090.1,0.344,2.797,2.821
ZENODO-BATCH-02,76,30.65,7.99,7.0,75.53,472.7,689.9,0.382,2.821,2.874
ZENODO-BATCH-02,77,30.16,8.78,7.52,73.64,401.6,752.6,0.337,2.874,2.908
ZENODO-BATCH-02,78,31.6,8.26,7.39,77.67,536.6,775.6,0.402,2.908,2.913
ZENODO-BATCH-02,79,30.38,8.42,7.09,75.46,490.3,952.2,0.326,2.913,2.938
ZENODO-BATCH-02,80,27.05,8.51,6.24,80.23,477.8,1020.6,0.359,2.938,2.958
ZENODO-BATCH-02,81,28.16,8.26,7.1,74.41,489.2,578.7,0.358,2.958,2.984
ZENODO-BATCH-02,82,30.31,8.08,7.38,73.39,442.0,1030.9,0.369,2.984,2.988
ZENODO-BATCH-02,83,24.69,8.82,6.75,82.36,575.1,620.7,0.354,2.988,3.025
ZENODO-BATCH-02,84,33.65,8.79,7.82,76.1,486.7,904.3,0.339,3.025,2.571
ZENODO-BATCH-02,85,28.07,8.05,7.27,65.14,503.0,845.3,0.38,2.571,2.646
ZENODO-BATCH-02,86,26.71,7.41,8.41,67.14,454.5,705.1,0.363,2.646,2.695
ZENODO-BATCH-02,87,31.55,8.51,6.9,76.94,416.8,679.2,0.372,2.695,2.758
ZENODO-BATCH-02,88,27.28,7.75,7.46,71.28,380.4,745.4,0.347,2.758,2.77
ZENODO-BATCH-02,89,29.78,8.01,7.18,77.92,330.7,509.4,0.385,2.77,2.807
ZENODO-BATCH-02,90,26.99,8.46,7.81,73.45,473.6,540.3,0.375,2.807,2.841
ZENODO-BATCH-02,91,26.31,7.88,7.93,78.98,476.5,679.2,0.334,2.841,2.866
ZENODO-BATCH-02,92,28.45,7.91,7.79,75.25,499.8,283.6,0.344,2.866,2.903
ZENODO-BATCH-02,93,24.59,8.01,7.43,77.27,403.6,863.0,0.323,2.903,2.918
ZENODO-BATCH-02,94,24.46,8.77,7.36,73.15,423.5,587.8,0.373,2.918,2.927
ZENODO-BATCH-02,95,29.57,8.56,6.54,73.18,443.5,751.8,0.352,2.927,2.915
ZENODO-BATCH-02,96,29.59,8.66,7.7,76.19,414.6,294.7,0.391,2.915,2.925
ZENODO-BATCH-02,97,28.04,8.87,6.81,76.72,424.0,603.7,0.331,2.925,2.967
ZENODO-BATCH-02,98,29.31,8.14,7.91,76.73,389.7,667.5,0.348,2.967,3.046
ZENODO-BATCH-02,99,29.25,7.91,7.29,81.77,511.7,643.3,0.321,3.046,3.056
ZENODO-BATCH-03,0,31.47,8.49,6.22,25.82,451.4,857.8,0.352,0.494,0.548
ZENODO-BATCH-03,1,30.58,8.06,6.76,24.95,481.8,672.2,0.34,0.548,0.62
ZENODO-BATCH-03,2,28.0,7.73,7.35,27.2,469.2,587.6,0.355,0.62,0.67
ZENODO-BATCH-03,3,29.16,8.23,6.25,26.84,524.5,926.8,0.345,0.67,0.757
ZENODO-BATCH-03,4,32.98,8.35,7.42,34.08,486.8,575.0,0.356,0.757,0.8
ZENODO-BATCH-03,5,27.74,7.37,7.13,28.1,518.8,690.2,0.305,0.8,0.845
ZENODO-BATCH-03,6,29.86,7.87,6.67,32.88,441.5,618.2,0.309,0.845,0.939
ZENODO-BATCH-03,7,24.7,8.81,7.23,33.78,515.1,701.5,0.353,0.939,0.951
ZENODO-BATCH-03,8,31.49,7.75,6.79,37.05,483.6,647.6,0.366,0.951,1.021
ZENODO-BATCH-03,9,23.66,8.31,7.78,30.83,400.7,905.2,0.363,1.021,1.06
ZENODO-BATCH-03,10,29.18,8.54,5.84,35.74,466.8,546.1,0.304,1.06,1.162
ZENODO-BATCH-03,11,29.13,8.22,7.02,36.26,417.6,686.2,0.358,1.162,1.285
ZENODO-BATCH-03,12,28.99,8.39,7.73,41.29,436.3,880.0,0.342,1.285,1.393
ZENODO-BATCH-03,13,26.22,8.29,5.91,45.8,446.7,380.7,0.366,1.393,1.447
ZENODO-BATCH-03,14,29.57,8.65,7.79,44.08,469.7,882.4,0.337,1.447,1.533
ZENODO-BATCH-03,15,26.67,8.27,7.41,47.69,512.4,782.6,0.363,1.533,1.673
ZENODO-BATCH-03,16,23.97,7.94,7.91,55.12,444.2,985.3,0.355,1.673,1.691
ZENODO-BATCH-03,17,31.55,9.04,6.43,48.43,495.2,537.4,0.351,1.691,1.683
ZENODO-BATCH-03,18,29.56,8.31,9.03,48.71,487.5,986.2,0.352,1.683,1.812
ZENODO-BATCH-03,19,27.4,7.26,7.56,49.18,366.9,680.4,0.325,1.812,1.827
ZENODO-BATCH-03,20,27.99,8.25,7.58,53.33,434.0,915.2,0.405,1.827,1.946
ZENODO-BATCH-03,21,26.55,8.16,7.28,54.76,472.1,560.5,0.307,1.946,2.045
ZENODO-BATCH-03,22,27.5,7.96,7.87,59.31,376.4,472.0,0.346,2.045,2.147
ZENODO-BATCH-03,23,30.8,8.01,6.63,56.74,432.3,746.1,0.357,2.147,2.202
ZENODO-BATCH-03,24,26.28,8.11,7.61,64.12,437.9,993.9,0.347,2.202,2.298
ZENODO-BATCH-03,25,31.44,7.47,7.51,62.73,494.2,757.2,0.363,2.298,2.321
ZENODO-BATCH-03,26,24.26,7.96,5.63,65.63,438.1,1202.1,0.365,2.321,2.373
ZENODO-BATCH-03,27,29.68,8.63,6.44,63.41,426.5,1051.2,0.328,2.373,2.47
ZENODO-BATCH-03,28,29.82,8.47,5.73,71.1,428.8,392.5,0.373,2.47,2.543
ZENODO-BATCH-03,29,26.03,8.92,6.43,68.09,405.3,674.4,0.341,2.543,2.563
ZENODO-BATCH-03,30,24.97,8.8,8.09,63.5,427.9,692.9,0.326,2.563,2.602
ZENODO-BATCH-03,31,33.23,8.04,7.2,68.94,408.4,711.7,0.34,2.602,2.637
ZENODO-BATCH-03,32,25.75,8.09,7.13,70.73,444.0,395.3,0.355,2.637,2.685
ZENODO-BATCH-03,33,24.65,7.58,7.35,75.79,368.2,815.2,0.326,2.685,2.703
ZENODO-BATCH-03,34,27.95,8.8,6.19,71.65,420.7,528.6,0.333,2.703,2.742
ZENODO-BATCH-03,35,30.9,7.43,7.04,73.2,410.1,689.1,0.397,2.742,2.775
ZENODO-BATCH-03,36,33.4,8.76,7.18,68.48,402.6,639.4,0.339,2.775,2.791
ZENODO-BATCH-03,37,29.16,9.05,6.67,73.03,472.6,654.9,0.367,2.791,2.791
ZENODO-BATCH-03,38,28.47,8.43,6.04,75.32,507.1,765.9,0.333,2.791,2.833
ZENODO-BATCH-03,39,29.1,7.16,8.16,75.57,447.9,1208.9,0.343,2.833,2.866
ZENODO-BATCH-03,40,31.41,8.16,9.07,80.92,505.2,695.7,0.354,2.866,2.898
ZENODO-BATCH-03,41,30.88,8.75,8.12,73.07,426.4,646.2,0.339,2.898,2.909
ZENODO-BATCH-03,42,27.16,8.64,7.54,78.09,492.2,812.7,0.338,2.909,2.954
ZENODO-BATCH-03,43,29.96,8.45,6.54,72.07,469.5,581.9,0.35,2.954,2.959
ZENODO-BATCH-03,44,28.02,8.0,7.22,75.71,453.9,739.2,0.362,2.959,2.987
ZENODO-BATCH-03,45,32.14,8.25,7.07,74.72,463.7,687.7,0.336,2.987,2.994
ZENODO-BATCH-03,46,30.68,7.97,6.98,73.25,491.5,692.1,0.363,2.994,3.016
ZENODO-BATCH-03,47,28.7,8.26,6.52,78.38,514.1,422.5,0.357,3.016,3.054
ZENODO-BATCH-03,48,33.97,7.67,6.32,81.72,468.5,603.2,0.366,3.054,2.601
ZENODO-BATCH-03,49,29.09,8.87,6.61,63.72,462.9,512.0,0.368,2.601,2.635
ZENODO-BATCH-03,50,29.34,7.82,7.96,67.39,460.7,607.3,0.329,2.635,2.707
ZENODO-BATCH-03,51,27.82,7.9,8.02,71.08,438.0,851.2,0.337,2.707,2.776
ZENODO-BATCH-03,52,27.93,8.59,8.46,74.64,549.2,708.2,0.323,2.776,2.808
ZENODO-BATCH-03,53,28.98,8.28,7.36,72.46,507.6,530.0,0.344,2.808,2.86
ZENODO-BATCH-03,54,29.52,8.19,6.05,70.71,460.8,210.1,0.346,2.86,2.868
ZENODO-BATCH-03,55,31.59,8.11,6.9,74.28,481.7,648.6,0.392,2.868,2.906
ZENODO-BATCH-03,56,30.93,8.97,8.22,79.16,441.2,586.4,0.366,2.906,2.898
ZENODO-BATCH-03,57,32.37,7.91,6.5,70.52,453.3,754.6,0.322,2.898,2.921
ZENODO-BATCH-03,58,24.69,7.74,7.82,76.03,341.3,680.8,0.302,2.921,2.932
ZENODO-BATCH-03,59,29.85,8.23,8.04,76.87,469.7,1083.2,0.336,2.932,2.996
ZENODO-BATCH-03,60,27.91,8.34,5.47,80.88,426.6,896.6,0.355,2.996,3.004
ZENODO-BATCH-03,61,30.18,8.55,6.88,75.86,417.9,310.8,0.346,3.004,3.008
ZENODO-BATCH-03,62,32.68,8.2,7.63,77.56,458.1,594.9,0.351,3.008,3.012
ZENODO-BATCH-03,63,26.84,7.98,7.51,79.24,415.3,781.0,0.378,3.012,3.027
ZENODO-BATCH-03,64,25.25,8.96,7.71,77.81,498.2,509.4,0.345,3.027,3.004
ZENODO-BATCH-03,65,29.33,8.53,7.23,78.1,453.0,524.0,0.362,3.004,3.002
ZENODO-BATCH-03,66,27.18,8.35,8.95,76.35,432.2,871.5,0.312,3.002,3.025
ZENODO-BATCH-03,67,28.0,7.7,7.24,77.28,476.7,800.6,0.357,3.025,3.018
ZENODO-BATCH-03,68,26.71,8.32,7.64,78.48,461.9,749.3,0.338,3.018,3.047
ZENODO-BATCH-03,69,28.29,7.69,8.31,79.73,497.4,546.9,0.374,3.047,3.043
ZENODO-BATCH-03,70,28.48,8.95,7.7,76.86,450.7,831.3,0.325,3.043,3.037
