SlNo,Station,Agency,State LGD Code,State,District LGD Code,District,Tehsil,Block,Village,River,Basin,Tributary,Subtributary,SubSubtributary,Local River,Latitude,Longitude,Data Acquisition Time,Electric Conductivity (μS/cm),Colour,Odour,Turbidity (NTU),Temperature (ºC),Total Solids (mg/L)
17,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99086100,72.53307700,02-06-2020 08:30,Other,"","",Other,"",""
18,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99086100,72.53307700,05-08-2020 08:30,Other,"","",Other,"",""
19,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99086100,72.53307700,02-09-2020 08:30,Other,"","",Other,"",""
20,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99086100,72.53307700,05-10-2020 08:30,Other,"","",Other,"",""
21,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99086100,72.53307700,03-11-2020 08:30,Other,"","",Other,"",""
22,AHMEDABAD-2 NAROL SARKHEJ HIGHWAY,CPCB,24,Gujarat,438,Ahmedabad,AHMADABAD CITY,-,-,-,-,-,-,-,-,22.99086100,72.53307700,02-12-2020 08:30,Other,"","",Other,"",""
23,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,06-01-2018 08:30,371,"","","","",""
24,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,01-02-2018 08:30,358,"","","","",""
25,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,06-03-2018 08:30,346,"","","","",""
26,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,05-04-2018 08:30,358,"","","","",""
27,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,05-05-2018 08:30,283,"","","","",""
28,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,01-06-2018 08:30,322,"","","","",""
29,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,03-07-2018 08:30,330,"","","","",""
30,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,04-08-2018 08:30,276,"","","","",""
31,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,07-09-2018 08:30,294,"","","","",""
32,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,01-10-2018 08:30,308,"","","","",""
33,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,05-11-2018 08:30,364,"","","","",""
34,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,04-12-2018 08:30,315,"","","","",""
35,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,07-01-2019 08:30,283,"","","","",""
36,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,14-02-2019 08:30,254,"","","","",""
37,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,02-03-2019 08:30,287,"","","","",""
38,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,03-04-2019 08:30,322,"","","","",""
39,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,06-05-2019 08:30,300,"","","","",""
40,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,07-06-2019 08:30,294,"","","","",""
41,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,06-08-2019 08:30,218,"","","","",""
42,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,04-09-2019 08:30,192,"","","","",""
43,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,01-10-2019 08:30,211,"","","","",""
44,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,01-11-2019 08:30,252,"","","","",""
45,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,03-12-2019 08:30,304,"","","","",""
46,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,04-01-2020 08:30,297,"","",4.1,"",4
47,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,01-02-2020 08:30,330,"","",7.5,"",""
48,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,05-03-2020 08:30,332,"","",11.5,"",""
49,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,03-04-2020 08:30,306,"","",3.9,"",""
50,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,01-05-2020 08:30,309,"","",8.8,"",""
51,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,03-06-2020 08:30,341,"","",7.2,"",""
52,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,04-07-2020 08:30,318,"","",Clear,"",""
53,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,07-08-2020 08:30,415,"","",1.9,"",""
54,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,07-09-2020 08:30,312,"","",3.2,"",""
55,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,06-10-2020 08:30,408,"","",0.5,"",""
56,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,05-11-2020 08:30,419,"","",0.7,"",""
57,AJWAH LAKE AT SRI SAYAJI SABVAR BARODA,CPCB,24,Gujarat,461,Vadodara,VAGHODIA,-,-,-,-,-,-,-,-,22.40120600,73.38860300,04-12-2020 08:30,9,"","",9,"",""
58,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,07-02-2018 08:30,"","","","","",""
59,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,01-03-2018 08:30,"","","","","",""
60,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,05-04-2018 08:30,"","","","","",""
61,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,05-05-2018 08:30,"","","","","",""
62,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,06-06-2018 08:30,"","","","","",""
63,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,05-07-2018 08:30,"","","","","",""
64,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,01-08-2018 08:30,"","","","","",""
65,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,07-09-2018 08:30,"","","","","",""
66,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,03-10-2018 08:30,"","","","","",""
67,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,03-11-2018 08:30,"","","","","",""
68,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,01-12-2018 08:30,"","","","","",""
69,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,12-02-2019 08:30,"","","","","",""
70,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,22-03-2019 08:30,"","","","","",""
71,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,01-04-2019 08:30,"","","","","",""
72,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,02-05-2019 08:30,"","","","","",""
73,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,06-06-2019 08:30,"","","","","",""
74,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,04-07-2019 08:30,"","","","","",""
75,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,03-08-2019 08:30,"","","","","",""
76,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,03-09-2019 08:30,"","","","","",""
77,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,01-10-2019 08:30,"","","","","",""
78,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,02-11-2019 08:30,"","","","","",""
79,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,04-12-2019 08:30,"","","","","",""
80,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,08-01-2020 08:30,21610,"","",4,"",180
81,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,11-02-2020 08:30,14510,"","",6,"",""
82,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,04-03-2020 08:30,27180,"","",89,"",""
83,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,09-04-2020 08:30,10500,"","",51,"",""
84,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,02-05-2020 08:30,42232,"","",69,"",""
85,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,04-06-2020 08:30,16240,"","",21,"",""
86,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,01-07-2020 08:30,50290,"","",78,"",""
87,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,04-08-2020 08:30,557,"","",Other,"",""
88,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,05-09-2020 08:30,1642,"","",5,"",""
89,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,03-10-2020 08:30,536,"","",3,"",""
90,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,03-11-2020 08:30,1325,"","",2.5,"",""
91,AMBIKA AT BILIMORA,CPCB,24,Gujarat,453,Navsari,GANDEVI,-,-,-,-,-,-,-,-,20.77210600,72.95162500,02-12-2020 08:30,1126,"","",2,"",""
92,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,02-01-2018 08:30,"","","","","",""
93,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,02-02-2018 08:30,"","","","","",""
94,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-03-2018 08:30,"","","","","",""
95,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,03-04-2018 08:30,"","","","","",""
96,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,03-05-2018 08:30,"","","","","",""
97,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,02-06-2018 08:30,"","","","","",""
98,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,04-07-2018 08:30,"","","","","",""
99,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,02-08-2018 08:30,"","","","","",""
100,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-09-2018 08:30,"","","","","",""
101,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,02-10-2018 08:30,"","","","","",""
102,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-11-2018 08:30,"","","","","",""
103,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-12-2018 08:30,"","","","","",""
104,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-01-2019 08:30,"","","","","",""
105,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,04-02-2019 08:30,"","","","","",""
106,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-03-2019 08:30,"","","","","",""
107,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,02-04-2019 08:30,"","","","","",""
108,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-05-2019 08:30,"","","","","",""
109,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,03-06-2019 08:30,"","","","","",""
110,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-07-2019 08:30,"","","","","",""
111,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-08-2019 08:30,"","","","","",""
112,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,03-09-2019 08:30,"","","","","",""
113,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-10-2019 08:30,"","","","","",""
114,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,06-11-2019 08:30,"","","","","",""
115,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,02-12-2019 08:30,"","","","","",""
116,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-01-2020 08:30,1830,"","",4.9,"",20
117,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,03-02-2020 08:30,1440,"","",5.2,"",""
118,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,02-03-2020 08:30,1750,"","",4.8,"",""
119,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,07-04-2020 08:30,1800,"","",3.8,"",""
120,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-05-2020 08:30,2380,"","",5.7,"",""
121,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,02-06-2020 08:30,1210,"","",7.2,"",""
122,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-07-2020 08:30,1350,"","",5,"",""
123,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,21-08-2020 08:30,1176,"","",21,"",""
124,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,02-09-2020 08:30,1246,"","",9,"",""
125,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,01-10-2020 08:30,1601,"","",7,"",""
126,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,02-11-2020 08:30,1439,"","",1,"",""
127,AMLAKHADI AFTER CONFL. OF W. WATER FROM ANKLESH,CPCB,24,Gujarat,442,Bharuch,BHARUCH,-,-,-,-,-,-,-,-,21.70117800,73.02173300,02-12-2020 08:30,1780,"","",7,"",""
128,AMLAKHADI AT PUNGAM ANKLESHWAR DISTT BHARUCH,CPCB,24,Gujarat,442,Bharuch,ANKLESVAR,-,-,-,-,-,-,-,-,21.63116100,72.95648500,03-01-2018 08:30,"","","","","",""
